FIO /map/stars  |  698 stars  |  live pull
System                            StarType  Luminosity             Mass                    MassSol            
--------------------------------  --------  ---------------------  ----------------------  -------------------
AJ-120                            K         0.2919287519930051     1.4590853802807612e+30  0.7335773656514637 
AJ-135                            M         0.0020135888885299815  5.624064982362125e+29   0.2827584204304739 
AJ-293                            G         1.0208550353872081     2.1758382079995864e+30  1.0939357506282485 
AJ-300                            G         0.9757197413210843     1.7955440127558783e+30  0.9027370602090892 
AJ-505                            M         0.0019020305872798013  5.778749450794426e+29   0.29053541733506416
AJ-575                            G         1.0267992973725912     1.839013011010807e+30   0.9245917601864289 
AJ-768                            K         0.2989168404589526     1.5064057421652274e+30  0.7573683972675855 
AJ-946                            K         0.3036555188502222     1.4556066144534261e+30  0.7318283632244476 
AM-001                            M         0.0019260709168128097  5.392393266319061e+29   0.2711107725650609 
AM-371                            F         4.324535469856873      3.156263570691632e+30   1.586859512665476  
AM-429                            F         4.323428251684686      2.8744939230905415e+30  1.445195536998764  
AM-462                            K         0.3061800859989865     1.7080338332126424e+30  0.8587399865322486 
AM-528                            O         1669.648071341754      1.4421139715993212e+31  7.250447318246965  
AM-628                            G         0.9836654320703225     1.9221749587963627e+30  0.9664026942163715 
AM-644                            K         0.29677199687121375    1.6975053542060637e+30  0.8534466335877646 
AM-695                            K         0.3112091366229957     1.455548627648677e+30   0.731799209476459  
AM-783 (Arclight)                 K         0.30617566387391343    1.6319879192869345e+30  0.8205067467505955 
AM-884                            M         0.0019772527965125275  5.482525888976816e+29   0.2756423272487087 
AM-978                            K         0.3047122775379688     1.4571456754316509e+30  0.7326021495382861 
AN-240                            K         0.2997254140677227     1.6652548819477107e+30  0.8372322181738113 
AS-479                            M         0.0019516955716122604  5.487585623502634e+29   0.2758967130971661 
AU-130                            K         0.2941181967876394     1.5312197117949158e+30  0.76984399788583   
AU-290                            M         0.0019690667898306074  6.1763693436705844e+29  0.31052636217549445
AU-322                            G         0.9937843982682476     2.1802827240446847e+30  1.096170298665     
AU-522                            M         0.001957883580642348   6.266605493969526e+29   0.31506312186875446
AU-605                            F         4.410388420461256      2.935858966972639e+30   1.4760477460898134 
AU-686                            M         0.0019041225655898877  6.462479923458357e+29   0.3249110067098219 
AU-709                            F         4.193573398033338      2.6987918326779073e+30  1.3568586388526431 
AU-876                            M         0.0020241218053983685  5.548185476093057e+29   0.27894346285032967
AW-006                            K         0.3120189726448418     1.6466906297778198e+30  0.8278987580582302 
AW-066                            A         25.754599707319343     4.724615216824173e+30   2.37537215526605   
AW-284                            K         0.2900547242792027     1.617367496102347e+30   0.8131561066376808 
AW-726                            F         4.486415195350753      2.894501287579659e+30   1.455254543780623  
AW-844 (Liuli Central Sector)     G         0.9797752678661821     1.856068927979029e+30   0.9331668818396325 
AX-013                            K         0.30984671539447906    1.5654296222075206e+30  0.7870435506322376 
AX-128                            K         0.30355325709557546    1.59326533165505e+30    0.8010383769004777 
AX-215                            G         0.9665234367369676     2.0368622651813017e+30  1.024063481740222  
AX-383                            M         0.0019431887407843206  5.920968514280149e+29   0.2976856970477702 
AX-558                            G         1.0017831706395977     2.1285163013647718e+30  1.0701439423653956 
AX-872                            K         0.2855265660058047     1.4851664634202948e+30  0.7466900268578657 
AX-908                            G         0.9633296185338966     2.0364320005062576e+30  1.0238471596310998 
BI-373                            F         4.276854349767623      2.964159095620255e+30   1.490276066174085  
BI-417                            G         0.9771952220020489     2.157161434380709e+30   1.0845457186428904 
BI-500                            G         1.0142430835437892     1.8985601758315222e+30  0.9545300029318865 
BI-805                            G         0.9798738587850594     1.8432256140605329e+30  0.9267097104376737 
BN-299 (Isiphephelo)              A         23.78811448196443      4.079444005710141e+30   2.0510025166969035 
BN-386                            K         0.3253938410751267     1.5682562464428968e+30  0.7884646789557048 
BN-436                            M         0.0019836186129597597  5.9235335883926925e+29  0.29781466004990914
BN-516                            M         0.0020179392795399713  5.777110145029217e+29   0.29045299874455593
BN-805                            M         0.001824506363047606   6.143219402501333e+29   0.30885969846663314
BN-886                            F         4.441449285629969      2.912037968974921e+30   1.4640713770612976 
BN-901                            K         0.2899785373172655     1.6940833674216835e+30  0.8517261776881265 
BN-908 (Eremos)                   G         1.0419125025584999     1.9823977694385057e+30  0.9966806281742111 
BS-257                            M         0.0019261340504767924  6.451865420645103e+29   0.3243773464376623 
BS-290                            K         0.3121316545544286     1.513973794987176e+30   0.7611733509236681 
BS-409                            G         0.9622056699155243     1.8528008581408986e+30  0.9315238100255901 
BS-531                            M         0.001932996992629217   6.355170653690977e+29   0.3195158699693805 
BS-658                            M         0.0020805191751625046  6.44014391380005e+29    0.3237880298542006 
BS-788                            K         0.29801400692683316    1.4658843418161753e+30  0.7369956469664029 
BS-865                            K         0.2852664301730241     1.4686774549282666e+30  0.7383999270629797 
BS-987                            K         0.30934496091748964    1.571239804178719e+30   0.7899647079832675 
CB-045 (Neo Mexico)               K         0.28923904677474777    1.484272453893132e+30   0.7462405499714088 
CB-276                            M         0.0020129570603106104  5.662312584399882e+29   0.28468137679235206
CB-282                            K         0.3096853150882706     1.5604040100119687e+30  0.7845168476681592 
CB-528                            K         0.29069870252789864    1.498948770175227e+30   0.7536192911891538 
CC-541                            M         0.0019691026501017805  6.394398742841628e+29   0.3214881218120477 
CC-558                            F         4.300293952124317      2.8093566330042855e+30  1.4124467737578108 
CC-674                            M         0.0020210205061101405  6.436417963073994e+29   0.323600702014781  
CC-848                            G         1.0338548287270806     1.8810465963029668e+30  0.9457247844660467 
CG-021                            B         142.90367923221336     7.076279784112534e+30   3.5577072821078604 
CG-044                            M         0.0019910968241376014  6.518562674878994e+29   0.3277306523317745 
CG-281                            F         4.278492776061592      3.075334774325353e+30   1.546171329474788  
CG-339                            K         0.31035666934108114    1.674368934509336e+30   0.8418144467115817 
CG-856                            M         0.0019656904314841466  5.9342960436775776e+29  0.2983557588575957 
CH-115                            K         0.3069801021305044     1.5983535937420565e+30  0.803596578050305  
CH-131                            K         0.3053497549738196     1.6865336521896627e+30  0.8479304435342698 
CH-364                            A         26.127898589138027     4.2265798587631e+30     2.1249773045566114 
CH-657                            M         0.0019139459023898421  6.258335654057843e+29   0.3146473430898865 
CH-771 (Wild Garden)              K         0.30917920457670467    1.7417973440700046e+30  0.8757151051131246 
CH-913                            G         1.0453565149653596     2.0105369263979723e+30  1.0108280172941038 
DC-094                            F         4.47150185935926       2.793770847689735e+30   1.4046107831522048 
DC-724                            M         0.0020717158620467842  6.547434981111925e+29   0.32918225143850804
DC-823                            K         0.2947344018192551     1.7348541044223586e+30  0.8722242857829858 
DC-970                            G         1.0273582150044318     1.9561131400795388e+30  0.9834656310103262 
DW-161                            G         1.030523244071663      2.030676494774474e+30   1.0209534915909875 
DW-419                            G         1.0378508808031737     1.8634335977156963e+30  0.9368695815564084 
DW-456                            K         0.30438696181418784    1.6250270489935878e+30  0.8170070633451925 
DW-739 (Balanchine)               M         0.002096242700112926   5.70667515669272e+29    0.28691177258384715
DW-835                            K         0.3082611084964934     1.6482893922393796e+30  0.8287025602007942 
DX-325                            A         25.428934168883398     4.3685254073882397e+30  2.1963425879277225 
DX-561                            M         0.00198865949304425    6.1278668527943436e+29  0.3080878256809625 
DX-853                            M         0.0020509369993751683  5.6910451194825116e+29  0.2861259486919312 
DX-916                            K         0.30071062674830346    1.589126559633501e+30   0.7989575463215189 
EE-154                            M         0.002079743370140173   6.0295561257413e+29     0.3031451043610508 
EE-223                            F         4.499856309131481      3.0387327325150754e+30  1.5277690962871169 
EE-233                            K         0.31454574320442047    1.5844211983706713e+30  0.7965918543844501 
EE-860                            K         0.29335946696195125    1.457262234649891e+30   0.7326607514579643 
EE-981                            M         0.0019380719947825582  6.325341800121249e+29   0.31801617899051027
EL-179                            K         0.3041814932861539     1.600373231578707e+30   0.804611981688641  
EL-419                            G         1.0347653807550663     2.102941065230837e+30   1.0572856034343072 
EL-768                            B         149.35261951245826     6.852470272236302e+30   3.445183646172098  
EL-952                            M         0.0019252898019358306  5.9562906317186895e+29  0.29946157022215636
EM-009                            K         0.2869058827999787     1.679319584042159e+30   0.8443034610568925 
EM-355                            G         0.9586084347018496     1.9094063532558875e+30  0.959983083587676  
EM-398                            G         0.968909249705893      2.0015468578643792e+30  1.006308123612056  
EM-759                            K         0.2859855594843005     1.5564490569516256e+30  0.7825284348675845 
EM-789                            M         0.002024560362905574   5.561997080869952e+29   0.279637862286071  
EM-929                            K         0.28922605475937546    1.7133708555349624e+30  0.8614232556736865 
EM-988                            K         0.2900799417377047     1.438208778748791e+30   0.7230813367263906 
EW-238                            G         1.0433236393436647     2.0280494808778107e+30  1.0196327204011115 
EW-274                            G         1.001360109537156      1.7987172485591044e+30  0.9043324527697861 
EW-369                            F         4.351393682734108      2.777430310412781e+30   1.3963953295187437 
EW-445                            M         0.0019824305040227613  6.242346999431301e+29   0.3138434891619558 
EW-604                            M         0.002021267669690115   5.481540052656697e+29   0.275592762828391  
EW-652                            K         0.3061875452285691     1.647045393047103e+30   0.8280771206873319 
EW-943                            M         0.002094870620529271   6.0586067533042166e+29  0.30460566884385204
EW-985                            K         0.29479840290742976    1.5796530978691096e+30  0.7941946193409299 
EX-071                            A         24.050391765933462     4.646651972063482e+30   2.3361749482471    
EX-183                            G         1.007153664097549      2.0160561437424916e+30  1.0136028877538923 
EX-292                            K         0.3075659110760379     1.5242823418229296e+30  0.766356129624399  
EX-326                            M         0.00199061876031299    5.713255716912915e+29   0.2872426202570596 
EX-389                            G         1.0168506663343617     1.8871662246820242e+30  0.9488015207048891 
EX-740                            K         0.3054996325274569     1.647953425148231e+30   0.8285336476361143 
EX-925                            K         0.28580572799666       1.5868835573696385e+30  0.7978298428203311 
EY-303                            K         0.29244802474518483    1.6188913083808692e+30  0.8139222264358317 
EY-351                            K         0.3066002448329959     1.5661632190964413e+30  0.787412377625159  
EY-358                            M         0.0020019930446447073  6.102259333168106e+29   0.30680036868617927
EY-363                            M         0.002070922914062772   6.168955221855084e+29   0.3101536059253436 
EY-430                            A         24.475565570546717     4.2395359823495243e+30  2.1314911927348037 
EY-493                            M         0.0019501770848098707  5.5383171463430396e+29  0.2784473175637526 
EY-577                            K         0.2989998004832156     1.7045324019889717e+30  0.8569795887325147 
EY-847                            K         0.31232039173691606    1.4793884150801196e+30  0.7437850251785418 
EZ-176                            M         0.0019754492873072477  6.305145776162884e+29   0.31700079317058244
EZ-190                            M         0.002043178913136216   5.800248359620395e+29   0.2916163076732225 
EZ-476                            G         0.9763651812383982     2.0818812453161344e+30  1.0466974586808118 
EZ-566                            M         0.002055325435061949   5.4948674561103284e+29  0.27626281830620053
EZ-969                            G         0.9908844000802379     1.9680740327197057e+30  0.9894791516941708 
FA-035                            K         0.305479010186758      1.5232713026853725e+30  0.7658478143214543 
FA-042                            M         0.001941582341880302   5.4610166473448275e+29  0.274560917413013  
FA-056                            K         0.29908375717743163    1.6884150493378738e+30  0.8488763445640392 
FA-320                            M         0.001966017155918571   6.127359043307687e+29   0.30806229478671127
FA-382                            M         0.001989321279118369   6.134089835413433e+29   0.30840069559645217
FK-037                            K         0.314843805233495      1.647577372228133e+30   0.8283445813112786 
FK-317                            M         0.0019389886848313065  5.60672720713511e+29    0.2818867374125244 
FK-371 (Forge-Keep)               K         0.3147604759911442     1.594334301896103e+30   0.8015758179467588 
FK-794 (Wet Water)                K         0.2913032507353553     1.5911763496881402e+30  0.7999881094460233 
FW-039                            K         0.2956263309983427     1.463562054820322e+30   0.7358280818603933 
FW-129                            K         0.30792182127603984    1.560399444856117e+30   0.784514552466625  
FW-344                            G         1.029069719270145      2.0595041023510204e+30  1.0354470097290198 
FW-691                            F         4.567227194098894      3.213675338701344e+30   1.6157241521877044 
FW-918                            K         0.28850661045890774    1.529365730455057e+30   0.7689118805706672 
GC-025                            G         1.0402757320316371     1.8438090540125776e+30  0.9270030437468968 
GC-032                            A         25.16386091731392      4.182468835041161e+30   2.1027998165113932 
GC-231                            M         0.0019093777951620793  6.504441998791006e+29   0.3270207138658123 
GC-474                            M         0.0020855873322632155  5.899498932217407e+29   0.29660628115723514
GC-602                            M         0.0020982630474696024  6.191539373665889e+29   0.3112890585050724 
GC-645 (Cayman Planets)           K         0.30016154497605635    1.701034004300522e+30   0.8552207160887492 
GC-728                            K         0.3041498373180091     1.4732082627686833e+30  0.7406778596122089 
GH-082                            G         1.0355538640190425     2.0622221117677286e+30  1.0368135303005173 
GH-209                            G         1.0479154484818152     2.093077233154664e+30   1.0523264118424656 
GH-384                            M         0.001999019316940491   5.5107076115104915e+29  0.27705920620967783
GH-459                            K         0.297999317452147      1.5433023010440506e+30  0.775918703390674  
GH-527                            M         0.0020117412183150215  6.637739827622683e+29   0.33372246493829477
GH-780                            G         1.0450329688195161     1.943405302374313e+30   0.977076572334999  
GH-827                            F         4.19039613474908       3.21295907063403e+30    1.615364037523394  
GK-115                            M         0.0019924229356383678  5.9386694067019076e+29  0.29857563633493756
GK-219                            M         0.0020676803546226105  5.816511103396072e+29   0.2924339418499785 
GK-258                            F         4.307475620964268      2.8851270108839194e+30  1.4505414836017696 
GK-439                            M         0.00204059357209861    5.91548543517212e+29    0.2974100269065923 
GK-462                            G         1.0151128698030247     2.0752555164354362e+30  1.0433662727176654 
GK-476                            G         0.9502006537507349     1.9942187654709733e+30  1.0026238137108967 
GK-619                            A         24.37163029026131      4.5517012370174524e+30  2.2884370221304438 
GK-996                            K         0.31126788092060603    1.4835075230460854e+30  0.7458559693544925 
GM-037                            M         0.0020929950172768113  6.0589878527184656e+29  0.3046248291965041 
GM-212                            G         0.9838292996737255     1.8692135877543633e+30  0.9397755594541797 
GM-332                            M         0.0019088516169907615  5.871338339672097e+29   0.29519046453856695
GM-498                            G         1.0176647136961554     2.08045284946375e+30    1.0459793109420563 
GM-844                            G         1.0453615426744762     2.1742254192728006e+30  1.0931248965675218 
GY-110                            G         1.04698638014883       2.0552301937628792e+30  1.0332982371859625 
GY-135                            K         0.2887687082353274     1.669050173805849e+30   0.8391403588767465 
GY-252                            K         0.3027591496361339     1.475341568425142e+30   0.7417504114756873 
GY-528                            M         0.002077221183311789   6.032120000759204e+29   0.30327400707688307
