AEM RADIATION MODEL vs CAPTURED TRANSIT DATA
Generated: 2026-07-07T10:44:10.577Z
Aem formula (%/Mkm): rad_noshield=0.0734*AU^-2, rad_shield=0.0224*AU^-2, meteoroid_floor=0.0002 ; *distMkm
UNIT NOTE: Aem outputs PERCENT; segment.damage is a FRACTION. Predicted converted to fraction (÷100) to compare.
distMkm = stlDistance_m/1e9 ; AU = SemiMajorAxis_m/1.496e11 ; density = MeteoroidDensity (systemstars.json)
==================================================================================================================================

FULL PER-ROW TABLE (TRANSIT segments)
----------------------------------------------------------------------------------------------------------------------------------
planet   sys     T shield        AU   distMkm      radFrac   floorFrac     predFrac     observed        resid rad%ofPred
GH-459c  GH-459  K noshield   1.274     0.134    6.0600e-5   2.6809e-7    6.0868e-5    3.7366e-3    3.6757e-3      99.6%
GH-459c  GH-459  K noshield   1.274     0.134    6.0600e-5   2.6809e-7    6.0868e-5    3.7366e-3    3.6757e-3      99.6%
GH-459c  GH-459  K noshield   1.274     0.134    6.0631e-5   2.6822e-7    6.0899e-5    3.7385e-3    3.6776e-3      99.6%
GH-459c  GH-459  K noshield   1.274     0.134    6.0631e-5   2.6822e-7    6.0899e-5    3.7385e-3    3.6776e-3      99.6%
GH-459c  GH-459  K shield     1.274     0.134    1.8503e-5   2.6821e-7    1.8771e-5    3.7384e-3    3.7196e-3      98.6%
GH-459c  GH-459  K shield     1.274     0.134    1.8503e-5   2.6821e-7    1.8771e-5    3.7384e-3    3.7196e-3      98.6%
GH-459c  GH-459  K shield     1.274     0.134    1.8512e-5   2.6835e-7    1.8781e-5    3.7403e-3    3.7216e-3      98.6%
GH-459c  GH-459  K shield     1.274     0.134    1.8512e-5   2.6835e-7    1.8781e-5    3.7404e-3    3.7216e-3      98.6%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
IA-158b  IA-158  M noshield   0.336     0.000    6.5206e-8  2.0000e-11    6.5226e-8    0.0000e+0   -6.5226e-8     100.0%
